Dataset length,BSTInsertOpCount,BSTSearchOpCount,AVLInsertOpCount,AVLSearchOpCount
1943,22489,15,18890,17
1943,22489,21,18890,19
1943,22489,23,18890,17
1943,22489,21,18890,17
1943,22489,15,18890,19
1943,22489,21,18890,17
1943,22489,19,18890,19
1943,22489,19,18890,21
1943,22489,19,18890,19
1943,22489,17,18890,15
1943,22489,23,18890,13
1943,22489,19,18890,19
1943,22489,19,18890,19
1943,22489,25,18890,17
1943,22489,15,18890,17
1943,22489,23,18890,15
1943,22489,21,18890,19
1943,22489,19,18890,21
1943,22489,27,18890,21
1943,22489,27,18890,15
1943,22489,21,18890,17
1943,22489,13,18890,19
1943,22489,13,18890,19
1943,22489,15,18890,17
1943,22489,25,18890,21
1943,22489,17,18890,17
1943,22489,23,18890,17
1943,22489,19,18890,13
1943,22489,21,18890,19
1943,22489,25,18890,21
1943,22489,21,18890,19
1943,22489,15,18890,19
1943,22489,19,18890,15
1943,22489,13,18890,19
1943,22489,21,18890,13
1943,22489,19,18890,17
1943,22489,17,18890,19
1943,22489,21,18890,17
1943,22489,19,18890,21
1943,22489,13,18890,21
1943,22489,21,18890,17
1943,22489,15,18890,17
1943,22489,19,18890,21
1943,22489,23,18890,15
1943,22489,17,18890,21
1943,22489,17,18890,19
1943,22489,17,18890,19
1943,22489,19,18890,21
1943,22489,29,18890,15
1943,22489,19,18890,21
1943,22489,25,18890,19
1943,22489,13,18890,13
1943,22489,15,18890,13
1943,22489,29,18890,17
1943,22489,25,18890,17
1943,22489,17,18890,15
1943,22489,29,18890,19
1943,22489,23,18890,17
1943,22489,17,18890,21
1943,22489,27,18890,17
1943,22489,25,18890,15
1943,22489,17,18890,19
1943,22489,29,18890,21
1943,22489,25,18890,19
1943,22489,21,18890,15
1943,22489,21,18890,15
1943,22489,21,18890,17
1943,22489,15,18890,15
1943,22489,23,18890,19
1943,22489,21,18890,17
1943,22489,27,18890,19
1943,22489,31,18890,17
1943,22489,19,18890,15
1943,22489,21,18890,19
1943,22489,19,18890,17
1943,22489,23,18890,17
1943,22489,19,18890,11
1943,22489,13,18890,17
1943,22489,25,18890,19
1943,22489,19,18890,19
1943,22489,21,18890,13
1943,22489,25,18890,17
1943,22489,19,18890,17
1943,22489,23,18890,19
1943,22489,19,18890,21
1943,22489,21,18890,19
1943,22489,27,18890,13
1943,22489,15,18890,19
1943,22489,31,18890,19
1943,22489,23,18890,9
1943,22489,17,18890,19
1943,22489,25,18890,15
1943,22489,23,18890,17
1943,22489,25,18890,17
1943,22489,25,18890,19
1943,22489,23,18890,15
1943,22489,21,18890,21
1943,22489,25,18890,19
1943,22489,23,18890,19
1943,22489,17,18890,23
1943,22489,15,18890,23
1943,22489,23,18890,19
1943,22489,21,18890,17
1943,22489,17,18890,19
1943,22489,23,18890,17
1943,22489,17,18890,13
1943,22489,17,18890,19
1943,22489,15,18890,17
1943,22489,19,18890,19
1943,22489,21,18890,21
1943,22489,15,18890,15
1943,22489,17,18890,19
1943,22489,23,18890,17
1943,22489,19,18890,17
1943,22489,21,18890,19
1943,22489,23,18890,19
1943,22489,19,18890,17
1943,22489,21,18890,21
1943,22489,21,18890,15
1943,22489,19,18890,21
1943,22489,23,18890,17
1943,22489,13,18890,9
1943,22489,27,18890,17
1943,22489,21,18890,21
1943,22489,25,18890,17
1943,22489,23,18890,11
1943,22489,21,18890,19
1943,22489,23,18890,21
1943,22489,25,18890,15
1943,22489,25,18890,19
1943,22489,15,18890,17
1943,22489,17,18890,15
1943,22489,23,18890,17
1943,22489,29,18890,19
1943,22489,19,18890,17
1943,22489,23,18890,19
1943,22489,27,18890,19
1943,22489,21,18890,19
1943,22489,23,18890,21
1943,22489,27,18890,13
1943,22489,19,18890,21
1943,22489,21,18890,19
1943,22489,15,18890,19
1943,22489,23,18890,21
1943,22489,15,18890,17
1943,22489,27,18890,23
1943,22489,29,18890,17
1943,22489,17,18890,21
1943,22489,19,18890,9
1943,22489,25,18890,15
1943,22489,19,18890,19
1943,22489,19,18890,19
1943,22489,23,18890,19
1943,22489,27,18890,21
1943,22489,23,18890,15
1943,22489,21,18890,17
1943,22489,25,18890,15
1943,22489,13,18890,21
1943,22489,21,18890,19
1943,22489,27,18890,19
1943,22489,11,18890,17
1943,22489,29,18890,17
1943,22489,21,18890,19
1943,22489,27,18890,19
1943,22489,25,18890,17
1943,22489,17,18890,11
1943,22489,21,18890,19
1943,22489,19,18890,19
1943,22489,23,18890,15
1943,22489,19,18890,15
1943,22489,17,18890,17
1943,22489,19,18890,21
1943,22489,17,18890,23
1943,22489,23,18890,21
1943,22489,15,18890,21
1943,22489,25,18890,19
1943,22489,21,18890,15
1943,22489,17,18890,19
1943,22489,27,18890,19
1943,22489,17,18890,15
1943,22489,25,18890,17
1943,22489,19,18890,19
1943,22489,27,18890,21
1943,22489,21,18890,19
1943,22489,25,18890,15
1943,22489,25,18890,19
1943,22489,21,18890,19
1943,22489,23,18890,21
1943,22489,15,18890,19
1943,22489,25,18890,19
1943,22489,25,18890,19
1943,22489,23,18890,13
1943,22489,29,18890,17
1943,22489,19,18890,15
1943,22489,17,18890,15
1943,22489,19,18890,21
1943,22489,15,18890,19
1943,22489,27,18890,15
1943,22489,15,18890,21
1943,22489,31,18890,21
1943,22489,25,18890,17
1943,22489,23,18890,19
1943,22489,29,18890,19
1943,22489,23,18890,19
1943,22489,21,18890,15
1943,22489,27,18890,21
1943,22489,17,18890,11
1943,22489,25,18890,17
1943,22489,29,18890,13
1943,22489,27,18890,17
1943,22489,25,18890,13
1943,22489,21,18890,11
1943,22489,27,18890,11
1943,22489,21,18890,17
1943,22489,29,18890,17
1943,22489,21,18890,17
1943,22489,21,18890,17
1943,22489,21,18890,19
1943,22489,13,18890,21
1943,22489,21,18890,21
1943,22489,29,18890,17
1943,22489,21,18890,19
1943,22489,27,18890,17
1943,22489,21,18890,19
1943,22489,23,18890,21
1943,22489,31,18890,19
1943,22489,23,18890,17
1943,22489,21,18890,23
1943,22489,21,18890,19
1943,22489,27,18890,15
1943,22489,23,18890,19
1943,22489,29,18890,21
1943,22489,21,18890,19
1943,22489,27,18890,21
1943,22489,31,18890,17
1943,22489,31,18890,19
1943,22489,27,18890,17
1943,22489,21,18890,19
1943,22489,23,18890,21
1943,22489,25,18890,15
1943,22489,17,18890,15
1943,22489,23,18890,13
1943,22489,25,18890,23
1943,22489,27,18890,19
1943,22489,23,18890,19
1943,22489,21,18890,17
1943,22489,27,18890,21
1943,22489,29,18890,19
1943,22489,25,18890,21
1943,22489,23,18890,13
1943,22489,9,18890,15
1943,22489,15,18890,17
1943,22489,23,18890,21
1943,22489,29,18890,15
1943,22489,25,18890,17
1943,22489,29,18890,15
1943,22489,21,18890,13
1943,22489,17,18890,19
1943,22489,31,18890,17
1943,22489,21,18890,17
1943,22489,25,18890,21
1943,22489,27,18890,21
1943,22489,17,18890,19
1943,22489,23,18890,19
1943,22489,21,18890,21
1943,22489,23,18890,17
1943,22489,19,18890,19
1943,22489,23,18890,21
1943,22489,23,18890,23
1943,22489,25,18890,21
1943,22489,23,18890,17
1943,22489,29,18890,15
1943,22489,27,18890,15
1943,22489,27,18890,19
1943,22489,21,18890,17
1943,22489,19,18890,21
1943,22489,15,18890,21
1943,22489,31,18890,17
1943,22489,27,18890,11
1943,22489,23,18890,21
1943,22489,25,18890,17
1943,22489,23,18890,19
1943,22489,23,18890,21
1943,22489,23,18890,21
1943,22489,19,18890,15
1943,22489,17,18890,21
1943,22489,29,18890,15
1943,22489,23,18890,21
1943,22489,23,18890,21
1943,22489,17,18890,19
1943,22489,21,18890,21
1943,22489,27,18890,19
1943,22489,17,18890,17
1943,22489,25,18890,23
1943,22489,21,18890,19
1943,22489,25,18890,17
1943,22489,25,18890,19
1943,22489,17,18890,19
1943,22489,21,18890,17
1943,22489,31,18890,19
1943,22489,19,18890,21
1943,22489,29,18890,19
1943,22489,25,18890,19
1943,22489,31,18890,23
1943,22489,21,18890,21
1943,22489,25,18890,21
1943,22489,23,18890,19
1943,22489,27,18890,19
1943,22489,23,18890,17
1943,22489,23,18890,21
1943,22489,23,18890,13
1943,22489,31,18890,13
1943,22489,23,18890,19
1943,22489,31,18890,15
1943,22489,29,18890,21
1943,22489,25,18890,11
1943,22489,33,18890,17
1943,22489,21,18890,19
1943,22489,29,18890,21
1943,22489,25,18890,21
1943,22489,15,18890,19
1943,22489,27,18890,19
1943,22489,29,18890,17
1943,22489,19,18890,19
1943,22489,15,18890,21
1943,22489,23,18890,17
1943,22489,23,18890,17
1943,22489,21,18890,17
1943,22489,29,18890,13
1943,22489,23,18890,15
1943,22489,29,18890,15
1943,22489,21,18890,19
1943,22489,25,18890,15
1943,22489,19,18890,23
1943,22489,29,18890,21
1943,22489,21,18890,21
1943,22489,25,18890,19
1943,22489,15,18890,19
1943,22489,23,18890,19
1943,22489,23,18890,17
1943,22489,25,18890,19
1943,22489,23,18890,19
1943,22489,27,18890,21
1943,22489,31,18890,23
1943,22489,25,18890,19
1943,22489,27,18890,21
1943,22489,13,18890,19
1943,22489,29,18890,19
1943,22489,25,18890,21
1943,22489,25,18890,19
1943,22489,17,18890,17
1943,22489,23,18890,23
1943,22489,19,18890,15
1943,22489,29,18890,15
1943,22489,23,18890,19
1943,22489,17,18890,13
1943,22489,21,18890,21
1943,22489,27,18890,17
1943,22489,23,18890,21
1943,22489,21,18890,17
1943,22489,19,18890,21
1943,22489,11,18890,17
1943,22489,21,18890,23
1943,22489,31,18890,17
1943,22489,29,18890,17
1943,22489,19,18890,15
1943,22489,27,18890,21
1943,22489,25,18890,21
1943,22489,27,18890,21
1943,22489,19,18890,19
1943,22489,25,18890,19
1943,22489,31,18890,19
1943,22489,27,18890,19
1943,22489,27,18890,21
1943,22489,25,18890,21
1943,22489,23,18890,23
1943,22489,15,18890,19
1943,22489,23,18890,21
1943,22489,19,18890,21
1943,22489,17,18890,19
1943,22489,31,18890,19
1943,22489,19,18890,21
1943,22489,21,18890,21
1943,22489,15,18890,13
1943,22489,19,18890,21
1943,22489,27,18890,19
1943,22489,25,18890,19
1943,22489,27,18890,19
1943,22489,17,18890,15
1943,22489,31,18890,19
1943,22489,21,18890,23
1943,22489,25,18890,19
1943,22489,23,18890,17
1943,22489,29,18890,21
1943,22489,33,18890,19
1943,22489,17,18890,19
1943,22489,23,18890,19
1943,22489,27,18890,19
1943,22489,25,18890,19
1943,22489,27,18890,15
1943,22489,25,18890,17
1943,22489,25,18890,19
1943,22489,17,18890,19
1943,22489,27,18890,19
1943,22489,31,18890,23
1943,22489,15,18890,19
1943,22489,19,18890,15
1943,22489,21,18890,17
1943,22489,25,18890,17
1943,22489,19,18890,19
1943,22489,19,18890,23
1943,22489,19,18890,21
1943,22489,25,18890,17
1943,22489,19,18890,19
1943,22489,25,18890,21
1943,22489,29,18890,23
1943,22489,21,18890,13
1943,22489,27,18890,17
1943,22489,27,18890,21
1943,22489,33,18890,19
1943,22489,31,18890,23
1943,22489,17,18890,19
1943,22489,21,18890,17
1943,22489,19,18890,19
1943,22489,23,18890,19
1943,22489,15,18890,19
1943,22489,17,18890,21
1943,22489,19,18890,17
1943,22489,21,18890,19
1943,22489,19,18890,17
1943,22489,27,18890,17
1943,22489,27,18890,19
1943,22489,27,18890,13
1943,22489,33,18890,19
1943,22489,25,18890,19
1943,22489,33,18890,19
1943,22489,29,18890,17
1943,22489,25,18890,17
1943,22489,25,18890,19
1943,22489,27,18890,17
1943,22489,25,18890,17
1943,22489,15,18890,19
1943,22489,15,18890,23
1943,22489,13,18890,19
1943,22489,33,18890,19
1943,22489,21,18890,17
1943,22489,17,18890,17
1943,22489,21,18890,13
1943,22489,13,18890,19
1943,22489,25,18890,19
1943,22489,27,18890,19
1943,22489,31,18890,13
1943,22489,33,18890,21
1943,22489,21,18890,19
1943,22489,35,18890,21
1943,22489,19,18890,23
1943,22489,33,18890,21
1943,22489,27,18890,21
1943,22489,21,18890,19
1943,22489,23,18890,15
1943,22489,27,18890,19
1943,22489,21,18890,19
1943,22489,23,18890,21
1943,22489,19,18890,17
1943,22489,23,18890,17
1943,22489,29,18890,15
1943,22489,25,18890,15
1943,22489,31,18890,21
1943,22489,29,18890,21
1943,22489,23,18890,19
1943,22489,25,18890,19
1943,22489,29,18890,19
1943,22489,23,18890,19
1943,22489,19,18890,15
1943,22489,27,18890,19
1943,22489,21,18890,15
1943,22489,29,18890,17
1943,22489,27,18890,15
1943,22489,21,18890,21
1943,22489,27,18890,21
1943,22489,29,18890,19
1943,22489,23,18890,21
1943,22489,23,18890,19
1943,22489,23,18890,19
1943,22489,23,18890,19
1943,22489,25,18890,21
1943,22489,27,18890,21
1943,22489,29,18890,21
1943,22489,31,18890,19
1943,22489,31,18890,21
1943,22489,29,18890,21
1943,22489,17,18890,15
1943,22489,19,18890,21
1943,22489,17,18890,17
1943,22489,35,18890,17
1943,22489,35,18890,19
1943,22489,31,18890,23
1943,22489,31,18890,15
1943,22489,25,18890,13
1943,22489,23,18890,23
1943,22489,19,18890,19
1943,22489,17,18890,15
1943,22489,17,18890,17
1943,22489,27,18890,17
1943,22489,35,18890,21
1943,22489,17,18890,19
1943,22489,31,18890,17
1943,22489,23,18890,21
1943,22489,31,18890,23
1943,22489,25,18890,23
1943,22489,23,18890,15
1943,22489,19,18890,19
1943,22489,31,18890,17
1943,22489,25,18890,19
1943,22489,19,18890,21
1943,22489,29,18890,17
1943,22489,19,18890,23
1943,22489,31,18890,17
1943,22489,29,18890,15
1943,22489,19,18890,19
1943,22489,29,18890,17
1943,22489,31,18890,19
1943,22489,23,18890,19
1943,22489,27,18890,21
1943,22489,29,18890,15
1943,22489,25,18890,17
1943,22489,25,18890,19
1943,22489,25,18890,19
1943,22489,37,18890,21
1943,22489,25,18890,19
1943,22489,27,18890,21
1943,22489,19,18890,17
1943,22489,19,18890,19
1943,22489,27,18890,17
1943,22489,23,18890,17
1943,22489,27,18890,17
1943,22489,31,18890,19
1943,22489,23,18890,15
1943,22489,21,18890,21
1943,22489,21,18890,23
1943,22489,29,18890,19
1943,22489,23,18890,17
1943,22489,31,18890,17
1943,22489,19,18890,17
1943,22489,27,18890,19
1943,22489,29,18890,21
1943,22489,21,18890,17
1943,22489,21,18890,21
1943,22489,23,18890,17
1943,22489,19,18890,21
1943,22489,23,18890,17
1943,22489,27,18890,21
1943,22489,31,18890,21
1943,22489,27,18890,19
1943,22489,21,18890,17
1943,22489,21,18890,19
1943,22489,29,18890,17
1943,22489,29,18890,19
1943,22489,19,18890,21
1943,22489,31,18890,19
1943,22489,33,18890,15
1943,22489,25,18890,15
1943,22489,33,18890,17
1943,22489,17,18890,19
1943,22489,25,18890,21
1943,22489,23,18890,15
1943,22489,19,18890,19
1943,22489,19,18890,17
1943,22489,23,18890,21
1943,22489,23,18890,19
1943,22489,23,18890,21
1943,22489,31,18890,21
1943,22489,33,18890,21
1943,22489,25,18890,19
1943,22489,19,18890,15
1943,22489,21,18890,23
1943,22489,33,18890,19
1943,22489,29,18890,21
1943,22489,33,18890,17
1943,22489,17,18890,19
1943,22489,27,18890,19
1943,22489,31,18890,19
1943,22489,15,18890,17
1943,22489,21,18890,17
1943,22489,25,18890,17
1943,22489,23,18890,21
1943,22489,15,18890,21
1943,22489,29,18890,17
1943,22489,19,18890,17
1943,22489,31,18890,15
1943,22489,21,18890,19
1943,22489,25,18890,23
1943,22489,25,18890,21
1943,22489,21,18890,21
1943,22489,21,18890,21
1943,22489,31,18890,21
1943,22489,33,18890,19
1943,22489,27,18890,21
1943,22489,31,18890,19
1943,22489,19,18890,21
1943,22489,27,18890,23
1943,22489,19,18890,19
1943,22489,21,18890,21
1943,22489,21,18890,17
1943,22489,23,18890,19
1943,22489,25,18890,21
1943,22489,17,18890,21
1943,22489,25,18890,21
1943,22489,25,18890,21
1943,22489,23,18890,19
1943,22489,25,18890,23
1943,22489,25,18890,21
1943,22489,25,18890,17
1943,22489,21,18890,23
1943,22489,17,18890,23
1943,22489,27,18890,21
1943,22489,21,18890,17
1943,22489,21,18890,17
1943,22489,17,18890,19
1943,22489,23,18890,17
1943,22489,21,18890,17
1943,22489,27,18890,21
1943,22489,29,18890,19
1943,22489,21,18890,17
1943,22489,25,18890,17
1943,22489,21,18890,21
1943,22489,27,18890,23
1943,22489,23,18890,17
1943,22489,23,18890,21
1943,22489,15,18890,21
1943,22489,27,18890,23
1943,22489,31,18890,21
1943,22489,19,18890,19
1943,22489,19,18890,17
1943,22489,21,18890,17
1943,22489,31,18890,21
1943,22489,21,18890,21
1943,22489,21,18890,21
1943,22489,17,18890,21
1943,22489,27,18890,21
1943,22489,23,18890,21
1943,22489,29,18890,21
1943,22489,17,18890,19
1943,22489,29,18890,23
1943,22489,33,18890,21
1943,22489,25,18890,17
1943,22489,15,18890,19
1943,22489,27,18890,19
1943,22489,27,18890,21
1943,22489,23,18890,21
1943,22489,21,18890,19
1943,22489,23,18890,21
1943,22489,21,18890,21
1943,22489,15,18890,19
1943,22489,25,18890,19
1943,22489,23,18890,19
1943,22489,27,18890,21
1943,22489,27,18890,19
1943,22489,29,18890,21
1943,22489,21,18890,15
1943,22489,33,18890,23
1943,22489,21,18890,19
1943,22489,21,18890,19
1943,22489,33,18890,19
1943,22489,17,18890,21
1943,22489,23,18890,15
1943,22489,25,18890,23
1943,22489,23,18890,19
1943,22489,21,18890,15
1943,22489,31,18890,21
1943,22489,25,18890,15
1943,22489,23,18890,21
1943,22489,21,18890,21
1943,22489,27,18890,21
1943,22489,21,18890,21
1943,22489,31,18890,19
1943,22489,23,18890,17
1943,22489,23,18890,19
1943,22489,17,18890,21
1943,22489,23,18890,19
1943,22489,13,18890,17
1943,22489,23,18890,23
1943,22489,37,18890,23
1943,22489,23,18890,21
1943,22489,17,18890,19
1943,22489,35,18890,21
1943,22489,21,18890,17
1943,22489,23,18890,19
1943,22489,33,18890,17
1943,22489,23,18890,15
1943,22489,33,18890,21
1943,22489,23,18890,19
1943,22489,13,18890,19
1943,22489,29,18890,17
1943,22489,27,18890,19
1943,22489,33,18890,21
1943,22489,25,18890,23
1943,22489,19,18890,17
1943,22489,23,18890,21
1943,22489,17,18890,21
1943,22489,25,18890,19
1943,22489,23,18890,13
1943,22489,31,18890,21
1943,22489,17,18890,17
1943,22489,25,18890,19
1943,22489,19,18890,21
1943,22489,25,18890,19
1943,22489,21,18890,21
1943,22489,15,18890,21
1943,22489,25,18890,21
1943,22489,23,18890,23
1943,22489,23,18890,23
1943,22489,27,18890,17
1943,22489,21,18890,21
1943,22489,23,18890,19
1943,22489,27,18890,13
1943,22489,23,18890,19
1943,22489,25,18890,19
1943,22489,25,18890,19
1943,22489,17,18890,19
1943,22489,21,18890,21
1943,22489,25,18890,19
1943,22489,21,18890,23
1943,22489,33,18890,19
1943,22489,33,18890,21
1943,22489,25,18890,17
1943,22489,25,18890,15
1943,22489,25,18890,17
1943,22489,35,18890,21
1943,22489,23,18890,17
1943,22489,33,18890,21
1943,22489,29,18890,19
1943,22489,25,18890,23
1943,22489,27,18890,17
1943,22489,23,18890,17
1943,22489,21,18890,21
1943,22489,19,18890,19
1943,22489,23,18890,19
1943,22489,33,18890,19
1943,22489,25,18890,19
1943,22489,33,18890,17
1943,22489,23,18890,17
1943,22489,23,18890,15
1943,22489,27,18890,19
1943,22489,29,18890,23
1943,22489,17,18890,17
1943,22489,19,18890,19
1943,22489,29,18890,15
1943,22489,17,18890,17
1943,22489,19,18890,19
1943,22489,19,18890,19
1943,22489,23,18890,21
1943,22489,25,18890,21
1943,22489,21,18890,21
1943,22489,19,18890,19
1943,22489,27,18890,23
1943,22489,23,18890,19
1943,22489,13,18890,19
1943,22489,33,18890,15
1943,22489,17,18890,19
1943,22489,31,18890,23
1943,22489,29,18890,21
1943,22489,25,18890,21
1943,22489,27,18890,21
1943,22489,25,18890,19
1943,22489,29,18890,21
1943,22489,27,18890,15
1943,22489,33,18890,15
1943,22489,15,18890,19
1943,22489,29,18890,21
1943,22489,25,18890,17
1943,22489,21,18890,17
1943,22489,29,18890,23
1943,22489,27,18890,19
1943,22489,19,18890,19
1943,22489,35,18890,19
1943,22489,35,18890,17
1943,22489,27,18890,21
1943,22489,21,18890,21
1943,22489,21,18890,17
1943,22489,25,18890,21
1943,22489,21,18890,17
1943,22489,21,18890,19
1943,22489,25,18890,21
1943,22489,25,18890,19
1943,22489,25,18890,21
1943,22489,25,18890,21
1943,22489,21,18890,19
1943,22489,27,18890,19
1943,22489,27,18890,21
1943,22489,27,18890,17
1943,22489,29,18890,21
1943,22489,37,18890,19
1943,22489,25,18890,17
1943,22489,21,18890,19
1943,22489,35,18890,21
1943,22489,31,18890,21
1943,22489,33,18890,21
1943,22489,27,18890,21
1943,22489,25,18890,21
1943,22489,35,18890,19
1943,22489,33,18890,21
1943,22489,29,18890,21
1943,22489,29,18890,19
1943,22489,25,18890,19
1943,22489,29,18890,19
1943,22489,25,18890,21
1943,22489,29,18890,21
1943,22489,25,18890,19
1943,22489,33,18890,17
1943,22489,11,18890,19
1943,22489,37,18890,19
1943,22489,25,18890,19
1943,22489,27,18890,23
1943,22489,27,18890,21
1943,22489,25,18890,15
1943,22489,29,18890,23
1943,22489,29,18890,21
1943,22489,15,18890,21
1943,22489,21,18890,21
1943,22489,19,18890,21
1943,22489,25,18890,19
1943,22489,11,18890,19
1943,22489,19,18890,21
1943,22489,19,18890,23
1943,22489,23,18890,23
1943,22489,21,18890,21
1943,22489,27,18890,19
1943,22489,33,18890,21
1943,22489,27,18890,19
1943,22489,27,18890,23
1943,22489,23,18890,23
1943,22489,29,18890,15
1943,22489,21,18890,17
