Dataset length,BSTInsertOpCount,BSTSearchOpCount,AVLInsertOpCount,AVLSearchOpCount
1647,18599,13,15602,17
1647,18599,15,15602,17
1647,18599,15,15602,19
1647,18599,21,15602,19
1647,18599,19,15602,11
1647,18599,15,15602,17
1647,18599,17,15602,17
1647,18599,23,15602,17
1647,18599,15,15602,15
1647,18599,19,15602,17
1647,18599,11,15602,13
1647,18599,21,15602,13
1647,18599,25,15602,19
1647,18599,19,15602,7
1647,18599,23,15602,17
1647,18599,17,15602,9
1647,18599,23,15602,17
1647,18599,13,15602,19
1647,18599,21,15602,13
1647,18599,15,15602,15
1647,18599,17,15602,21
1647,18599,11,15602,13
1647,18599,21,15602,15
1647,18599,23,15602,15
1647,18599,13,15602,19
1647,18599,15,15602,13
1647,18599,23,15602,17
1647,18599,17,15602,17
1647,18599,19,15602,21
1647,18599,17,15602,19
1647,18599,19,15602,21
1647,18599,17,15602,19
1647,18599,19,15602,13
1647,18599,11,15602,11
1647,18599,21,15602,17
1647,18599,17,15602,19
1647,18599,15,15602,15
1647,18599,23,15602,17
1647,18599,17,15602,13
1647,18599,13,15602,19
1647,18599,25,15602,19
1647,18599,25,15602,17
1647,18599,19,15602,17
1647,18599,15,15602,21
1647,18599,17,15602,7
1647,18599,15,15602,13
1647,18599,19,15602,19
1647,18599,23,15602,17
1647,18599,25,15602,15
1647,18599,21,15602,9
1647,18599,11,15602,17
1647,18599,17,15602,11
1647,18599,15,15602,21
1647,18599,27,15602,19
1647,18599,19,15602,15
1647,18599,11,15602,13
1647,18599,11,15602,15
1647,18599,21,15602,19
1647,18599,13,15602,17
1647,18599,23,15602,19
1647,18599,21,15602,11
1647,18599,17,15602,15
1647,18599,21,15602,17
1647,18599,23,15602,19
1647,18599,17,15602,15
1647,18599,23,15602,11
1647,18599,17,15602,13
1647,18599,17,15602,17
1647,18599,13,15602,15
1647,18599,13,15602,21
1647,18599,15,15602,11
1647,18599,25,15602,21
1647,18599,19,15602,9
1647,18599,25,15602,17
1647,18599,17,15602,21
1647,18599,19,15602,19
1647,18599,19,15602,13
1647,18599,23,15602,15
1647,18599,25,15602,19
1647,18599,15,15602,21
1647,18599,17,15602,17
1647,18599,17,15602,13
1647,18599,15,15602,11
1647,18599,21,15602,19
1647,18599,17,15602,19
1647,18599,25,15602,13
1647,18599,15,15602,21
1647,18599,19,15602,13
1647,18599,17,15602,17
1647,18599,27,15602,13
1647,18599,17,15602,15
1647,18599,17,15602,21
1647,18599,17,15602,15
1647,18599,15,15602,21
1647,18599,19,15602,23
1647,18599,15,15602,19
1647,18599,19,15602,23
1647,18599,19,15602,13
1647,18599,21,15602,19
1647,18599,23,15602,17
1647,18599,17,15602,19
1647,18599,21,15602,17
1647,18599,21,15602,19
1647,18599,23,15602,21
1647,18599,15,15602,13
1647,18599,17,15602,21
1647,18599,25,15602,21
1647,18599,19,15602,15
1647,18599,15,15602,17
1647,18599,21,15602,15
1647,18599,19,15602,19
1647,18599,13,15602,17
1647,18599,11,15602,21
1647,18599,13,15602,19
1647,18599,13,15602,19
1647,18599,21,15602,19
1647,18599,17,15602,19
1647,18599,17,15602,15
1647,18599,13,15602,15
1647,18599,27,15602,13
1647,18599,21,15602,17
1647,18599,19,15602,19
1647,18599,27,15602,17
1647,18599,21,15602,19
1647,18599,19,15602,21
1647,18599,19,15602,21
1647,18599,15,15602,19
1647,18599,13,15602,15
1647,18599,23,15602,13
1647,18599,19,15602,17
1647,18599,19,15602,15
1647,18599,19,15602,15
1647,18599,23,15602,17
1647,18599,23,15602,17
1647,18599,19,15602,19
1647,18599,19,15602,17
1647,18599,23,15602,19
1647,18599,15,15602,17
1647,18599,21,15602,19
1647,18599,23,15602,17
1647,18599,21,15602,15
1647,18599,15,15602,19
1647,18599,21,15602,17
1647,18599,19,15602,17
1647,18599,19,15602,21
1647,18599,19,15602,19
1647,18599,17,15602,15
1647,18599,23,15602,13
1647,18599,19,15602,17
1647,18599,19,15602,19
1647,18599,25,15602,15
1647,18599,15,15602,17
1647,18599,23,15602,15
1647,18599,21,15602,19
1647,18599,19,15602,21
1647,18599,27,15602,19
1647,18599,27,15602,15
1647,18599,21,15602,17
1647,18599,13,15602,19
1647,18599,13,15602,19
1647,18599,15,15602,17
1647,18599,25,15602,21
1647,18599,17,15602,17
1647,18599,23,15602,15
1647,18599,19,15602,13
1647,18599,21,15602,19
1647,18599,25,15602,21
1647,18599,21,15602,19
1647,18599,15,15602,19
1647,18599,19,15602,15
1647,18599,13,15602,19
1647,18599,21,15602,13
1647,18599,19,15602,17
1647,18599,17,15602,17
1647,18599,21,15602,17
1647,18599,19,15602,19
1647,18599,13,15602,21
1647,18599,21,15602,17
1647,18599,15,15602,17
1647,18599,19,15602,21
1647,18599,23,15602,15
1647,18599,17,15602,19
1647,18599,17,15602,19
1647,18599,17,15602,19
1647,18599,19,15602,21
1647,18599,29,15602,15
1647,18599,19,15602,21
1647,18599,25,15602,19
1647,18599,13,15602,13
1647,18599,15,15602,13
1647,18599,29,15602,15
1647,18599,25,15602,17
1647,18599,17,15602,15
1647,18599,29,15602,19
1647,18599,23,15602,17
1647,18599,17,15602,19
1647,18599,27,15602,17
1647,18599,25,15602,15
1647,18599,17,15602,19
1647,18599,29,15602,19
1647,18599,25,15602,19
1647,18599,21,15602,15
1647,18599,21,15602,15
1647,18599,21,15602,17
1647,18599,15,15602,15
1647,18599,23,15602,19
1647,18599,21,15602,17
1647,18599,27,15602,19
1647,18599,31,15602,17
1647,18599,19,15602,15
1647,18599,21,15602,19
1647,18599,19,15602,17
1647,18599,23,15602,17
1647,18599,19,15602,11
1647,18599,13,15602,17
1647,18599,25,15602,17
1647,18599,19,15602,19
1647,18599,21,15602,13
1647,18599,25,15602,17
1647,18599,19,15602,17
1647,18599,23,15602,15
1647,18599,19,15602,21
1647,18599,21,15602,19
1647,18599,27,15602,13
1647,18599,15,15602,19
1647,18599,31,15602,19
1647,18599,23,15602,9
1647,18599,17,15602,19
1647,18599,25,15602,15
1647,18599,23,15602,15
1647,18599,25,15602,15
1647,18599,25,15602,19
1647,18599,23,15602,15
1647,18599,21,15602,21
1647,18599,25,15602,21
1647,18599,23,15602,19
1647,18599,17,15602,21
1647,18599,15,15602,21
1647,18599,23,15602,19
1647,18599,21,15602,17
1647,18599,17,15602,19
1647,18599,23,15602,17
1647,18599,17,15602,13
1647,18599,17,15602,19
1647,18599,15,15602,17
1647,18599,19,15602,19
1647,18599,21,15602,19
1647,18599,15,15602,15
1647,18599,17,15602,19
1647,18599,23,15602,17
1647,18599,19,15602,17
1647,18599,21,15602,19
1647,18599,23,15602,21
1647,18599,19,15602,17
1647,18599,21,15602,21
1647,18599,21,15602,15
1647,18599,19,15602,19
1647,18599,23,15602,17
1647,18599,13,15602,9
1647,18599,27,15602,17
1647,18599,21,15602,21
1647,18599,25,15602,17
1647,18599,23,15602,11
1647,18599,21,15602,19
1647,18599,23,15602,21
1647,18599,25,15602,13
1647,18599,25,15602,19
1647,18599,15,15602,17
1647,18599,17,15602,15
1647,18599,23,15602,17
1647,18599,29,15602,19
1647,18599,19,15602,19
1647,18599,23,15602,19
1647,18599,27,15602,19
1647,18599,21,15602,17
1647,18599,23,15602,21
1647,18599,27,15602,15
1647,18599,19,15602,19
1647,18599,21,15602,19
1647,18599,15,15602,19
1647,18599,23,15602,21
1647,18599,15,15602,17
1647,18599,27,15602,23
1647,18599,29,15602,15
1647,18599,17,15602,21
1647,18599,19,15602,11
1647,18599,25,15602,15
1647,18599,19,15602,19
1647,18599,19,15602,19
1647,18599,23,15602,19
1647,18599,27,15602,21
1647,18599,23,15602,15
1647,18599,21,15602,17
1647,18599,25,15602,15
1647,18599,13,15602,19
1647,18599,21,15602,19
1647,18599,27,15602,19
1647,18599,11,15602,17
1647,18599,29,15602,19
1647,18599,21,15602,21
1647,18599,27,15602,19
1647,18599,25,15602,17
1647,18599,17,15602,11
1647,18599,21,15602,19
1647,18599,19,15602,19
1647,18599,23,15602,15
1647,18599,19,15602,15
1647,18599,17,15602,17
1647,18599,19,15602,21
1647,18599,17,15602,23
1647,18599,23,15602,21
1647,18599,15,15602,19
1647,18599,25,15602,19
1647,18599,21,15602,15
1647,18599,17,15602,19
1647,18599,27,15602,19
1647,18599,17,15602,15
1647,18599,25,15602,17
1647,18599,19,15602,19
1647,18599,27,15602,17
1647,18599,21,15602,21
1647,18599,25,15602,13
1647,18599,25,15602,19
1647,18599,21,15602,17
1647,18599,23,15602,21
1647,18599,15,15602,17
1647,18599,25,15602,19
1647,18599,25,15602,19
1647,18599,23,15602,13
1647,18599,29,15602,15
1647,18599,19,15602,15
1647,18599,17,15602,15
1647,18599,19,15602,19
1647,18599,15,15602,19
1647,18599,27,15602,15
1647,18599,15,15602,21
1647,18599,31,15602,19
1647,18599,25,15602,17
1647,18599,23,15602,19
1647,18599,29,15602,19
1647,18599,23,15602,19
1647,18599,21,15602,15
1647,18599,27,15602,19
1647,18599,17,15602,11
1647,18599,25,15602,17
1647,18599,29,15602,13
1647,18599,27,15602,15
1647,18599,25,15602,13
1647,18599,21,15602,11
1647,18599,27,15602,11
1647,18599,21,15602,17
1647,18599,29,15602,15
1647,18599,21,15602,19
1647,18599,21,15602,17
1647,18599,21,15602,19
1647,18599,13,15602,21
1647,18599,21,15602,21
1647,18599,29,15602,19
1647,18599,21,15602,19
1647,18599,27,15602,17
1647,18599,21,15602,19
1647,18599,23,15602,21
1647,18599,31,15602,19
1647,18599,23,15602,17
1647,18599,21,15602,23
1647,18599,21,15602,19
1647,18599,27,15602,13
1647,18599,23,15602,19
1647,18599,29,15602,21
1647,18599,21,15602,19
1647,18599,27,15602,21
1647,18599,31,15602,17
1647,18599,31,15602,19
1647,18599,27,15602,17
1647,18599,21,15602,19
1647,18599,23,15602,21
1647,18599,25,15602,15
1647,18599,17,15602,15
1647,18599,23,15602,13
1647,18599,25,15602,19
1647,18599,27,15602,19
1647,18599,23,15602,19
1647,18599,21,15602,17
1647,18599,27,15602,19
1647,18599,29,15602,19
1647,18599,25,15602,21
1647,18599,23,15602,13
1647,18599,9,15602,15
1647,18599,15,15602,17
1647,18599,23,15602,21
1647,18599,29,15602,15
1647,18599,25,15602,17
1647,18599,29,15602,15
1647,18599,21,15602,13
1647,18599,17,15602,19
1647,18599,31,15602,17
1647,18599,21,15602,17
1647,18599,25,15602,21
1647,18599,27,15602,19
1647,18599,17,15602,19
1647,18599,23,15602,19
1647,18599,21,15602,21
1647,18599,23,15602,17
1647,18599,19,15602,19
1647,18599,23,15602,21
1647,18599,23,15602,23
1647,18599,25,15602,19
1647,18599,23,15602,17
1647,18599,29,15602,17
1647,18599,27,15602,15
1647,18599,27,15602,19
1647,18599,21,15602,17
1647,18599,19,15602,19
1647,18599,15,15602,19
1647,18599,31,15602,17
1647,18599,27,15602,11
1647,18599,23,15602,21
1647,18599,25,15602,17
1647,18599,23,15602,19
1647,18599,23,15602,21
1647,18599,23,15602,21
1647,18599,19,15602,15
1647,18599,17,15602,19
1647,18599,29,15602,15
1647,18599,23,15602,21
1647,18599,23,15602,21
1647,18599,17,15602,21
1647,18599,21,15602,21
1647,18599,27,15602,17
1647,18599,17,15602,19
1647,18599,25,15602,23
1647,18599,21,15602,19
1647,18599,25,15602,17
1647,18599,25,15602,19
1647,18599,17,15602,19
1647,18599,21,15602,17
1647,18599,31,15602,17
1647,18599,19,15602,21
1647,18599,29,15602,17
1647,18599,25,15602,19
1647,18599,31,15602,21
1647,18599,21,15602,21
1647,18599,25,15602,19
1647,18599,23,15602,19
1647,18599,27,15602,19
1647,18599,23,15602,17
1647,18599,23,15602,21
1647,18599,23,15602,15
1647,18599,31,15602,13
1647,18599,23,15602,19
1647,18599,31,15602,17
1647,18599,29,15602,21
1647,18599,25,15602,11
1647,18599,33,15602,17
1647,18599,21,15602,19
1647,18599,29,15602,21
1647,18599,25,15602,21
1647,18599,15,15602,19
1647,18599,27,15602,19
1647,18599,29,15602,17
1647,18599,19,15602,19
1647,18599,15,15602,21
1647,18599,23,15602,17
1647,18599,23,15602,17
1647,18599,21,15602,17
1647,18599,29,15602,11
1647,18599,23,15602,15
1647,18599,29,15602,15
1647,18599,21,15602,19
1647,18599,25,15602,15
1647,18599,19,15602,23
1647,18599,29,15602,19
1647,18599,21,15602,21
1647,18599,25,15602,19
1647,18599,15,15602,19
1647,18599,23,15602,17
1647,18599,23,15602,17
1647,18599,25,15602,19
1647,18599,23,15602,19
1647,18599,27,15602,23
1647,18599,31,15602,21
1647,18599,25,15602,19
1647,18599,27,15602,21
1647,18599,13,15602,19
1647,18599,29,15602,21
1647,18599,25,15602,21
1647,18599,25,15602,21
1647,18599,17,15602,17
1647,18599,23,15602,23
1647,18599,19,15602,15
1647,18599,29,15602,15
1647,18599,23,15602,19
1647,18599,17,15602,13
1647,18599,21,15602,21
1647,18599,27,15602,19
1647,18599,23,15602,21
1647,18599,21,15602,17
1647,18599,19,15602,21
1647,18599,11,15602,17
1647,18599,21,15602,23
1647,18599,31,15602,19
1647,18599,29,15602,17
1647,18599,19,15602,15
1647,18599,27,15602,21
1647,18599,25,15602,21
1647,18599,27,15602,21
1647,18599,19,15602,19
1647,18599,25,15602,19
1647,18599,31,15602,19
1647,18599,27,15602,19
1647,18599,27,15602,21
1647,18599,25,15602,21
1647,18599,23,15602,23
1647,18599,15,15602,19
1647,18599,23,15602,21
1647,18599,19,15602,21
1647,18599,17,15602,19
1647,18599,31,15602,17
1647,18599,19,15602,21
1647,18599,21,15602,21
1647,18599,15,15602,11
1647,18599,19,15602,21
1647,18599,27,15602,19
1647,18599,25,15602,19
1647,18599,27,15602,21
1647,18599,17,15602,13
1647,18599,31,15602,17
1647,18599,21,15602,23
1647,18599,25,15602,19
1647,18599,23,15602,17
1647,18599,29,15602,21
1647,18599,33,15602,19
1647,18599,17,15602,19
1647,18599,23,15602,19
1647,18599,27,15602,17
1647,18599,25,15602,21
1647,18599,27,15602,17
1647,18599,25,15602,17
1647,18599,25,15602,21
1647,18599,17,15602,19
1647,18599,27,15602,19
1647,18599,31,15602,23
1647,18599,15,15602,19
1647,18599,19,15602,15
1647,18599,21,15602,17
1647,18599,25,15602,17
1647,18599,19,15602,17
1647,18599,19,15602,21
1647,18599,19,15602,19
1647,18599,25,15602,17
1647,18599,19,15602,19
1647,18599,25,15602,21
1647,18599,29,15602,23
1647,18599,21,15602,13
1647,18599,27,15602,17
1647,18599,27,15602,23
1647,18599,33,15602,21
1647,18599,31,15602,21
1647,18599,17,15602,19
1647,18599,21,15602,15
1647,18599,19,15602,19
1647,18599,23,15602,19
1647,18599,15,15602,19
1647,18599,17,15602,19
1647,18599,19,15602,17
1647,18599,21,15602,19
1647,18599,19,15602,17
1647,18599,27,15602,17
1647,18599,27,15602,19
1647,18599,27,15602,13
1647,18599,33,15602,19
1647,18599,25,15602,19
1647,18599,33,15602,17
1647,18599,29,15602,17
1647,18599,25,15602,19
1647,18599,25,15602,19
1647,18599,27,15602,19
1647,18599,25,15602,17
1647,18599,15,15602,19
1647,18599,15,15602,23
1647,18599,13,15602,19
1647,18599,33,15602,19
1647,18599,21,15602,17
1647,18599,17,15602,17
1647,18599,21,15602,13
1647,18599,13,15602,19
1647,18599,25,15602,17
1647,18599,27,15602,19
1647,18599,31,15602,13
1647,18599,33,15602,19
1647,18599,21,15602,19
1647,18599,35,15602,19
1647,18599,19,15602,21
1647,18599,33,15602,21
1647,18599,27,15602,21
1647,18599,21,15602,17
1647,18599,23,15602,15
1647,18599,27,15602,19
1647,18599,21,15602,19
1647,18599,23,15602,19
1647,18599,19,15602,17
1647,18599,23,15602,17
1647,18599,29,15602,15
1647,18599,25,15602,15
1647,18599,31,15602,19
1647,18599,29,15602,21
1647,18599,23,15602,19
1647,18599,25,15602,19
1647,18599,29,15602,19
1647,18599,23,15602,19
1647,18599,19,15602,15
1647,18599,27,15602,19
1647,18599,21,15602,15
1647,18599,29,15602,17
1647,18599,27,15602,15
1647,18599,21,15602,21
1647,18599,27,15602,21
1647,18599,29,15602,19
1647,18599,23,15602,21
1647,18599,23,15602,19
1647,18599,23,15602,19
1647,18599,23,15602,19
1647,18599,25,15602,21
1647,18599,27,15602,21
1647,18599,29,15602,19
1647,18599,31,15602,19
1647,18599,31,15602,19
1647,18599,29,15602,19
1647,18599,17,15602,15
1647,18599,19,15602,21
1647,18599,17,15602,17
1647,18599,35,15602,17
1647,18599,35,15602,19
1647,18599,31,15602,23
1647,18599,31,15602,15
1647,18599,25,15602,13
1647,18599,23,15602,21
1647,18599,19,15602,19
1647,18599,17,15602,15
1647,18599,17,15602,17
1647,18599,27,15602,19
1647,18599,35,15602,21
1647,18599,17,15602,19
1647,18599,31,15602,17
1647,18599,23,15602,21
1647,18599,31,15602,21
1647,18599,25,15602,23
1647,18599,23,15602,17
1647,18599,19,15602,19
1647,18599,31,15602,17
1647,18599,25,15602,19
1647,18599,19,15602,21
1647,18599,29,15602,17
1647,18599,19,15602,23
1647,18599,31,15602,17
1647,18599,29,15602,15
1647,18599,19,15602,19
1647,18599,29,15602,17
1647,18599,31,15602,21
1647,18599,23,15602,19
1647,18599,27,15602,21
1647,18599,29,15602,19
1647,18599,25,15602,17
1647,18599,25,15602,21
1647,18599,25,15602,19
1647,18599,37,15602,21
1647,18599,25,15602,21
1647,18599,27,15602,21
1647,18599,19,15602,17
1647,18599,19,15602,19
1647,18599,27,15602,19
1647,18599,23,15602,17
1647,18599,27,15602,19
1647,18599,31,15602,19
1647,18599,23,15602,15
1647,18599,21,15602,19
1647,18599,21,15602,21
1647,18599,29,15602,21
1647,18599,23,15602,17
1647,18599,31,15602,17
1647,18599,19,15602,17
1647,18599,27,15602,19
1647,18599,29,15602,21
1647,18599,21,15602,19
1647,18599,21,15602,21
1647,18599,23,15602,17
1647,18599,19,15602,19
1647,18599,23,15602,17
1647,18599,27,15602,21
1647,18599,31,15602,21
1647,18599,27,15602,19
1647,18599,21,15602,17
1647,18599,21,15602,19
1647,18599,29,15602,17
1647,18599,29,15602,17
1647,18599,19,15602,21
1647,18599,31,15602,17
1647,18599,33,15602,15
1647,18599,25,15602,15
1647,18599,33,15602,19
1647,18599,17,15602,19
1647,18599,25,15602,21
1647,18599,23,15602,15
1647,18599,19,15602,19
1647,18599,19,15602,17
1647,18599,23,15602,19
1647,18599,23,15602,19
1647,18599,23,15602,21
1647,18599,31,15602,23
1647,18599,33,15602,21
1647,18599,25,15602,19
1647,18599,19,15602,15
1647,18599,21,15602,23
1647,18599,33,15602,19
1647,18599,29,15602,21
1647,18599,33,15602,17
1647,18599,17,15602,17
1647,18599,27,15602,19
1647,18599,31,15602,19
1647,18599,15,15602,17
1647,18599,21,15602,17
1647,18599,25,15602,15
1647,18599,23,15602,21
1647,18599,15,15602,21
1647,18599,29,15602,17
1647,18599,19,15602,17
1647,18599,31,15602,17
1647,18599,21,15602,19
1647,18599,25,15602,21
1647,18599,25,15602,21
1647,18599,21,15602,21
1647,18599,21,15602,21
1647,18599,31,15602,21
1647,18599,33,15602,19
1647,18599,27,15602,21
1647,18599,31,15602,19
1647,18599,19,15602,21
1647,18599,27,15602,23
1647,18599,19,15602,19
1647,18599,21,15602,21
1647,18599,21,15602,17
1647,18599,23,15602,19
1647,18599,25,15602,21
1647,18599,17,15602,21
1647,18599,25,15602,21
1647,18599,25,15602,19
1647,18599,23,15602,19
1647,18599,25,15602,23
1647,18599,25,15602,21
1647,18599,25,15602,17
1647,18599,21,15602,23
1647,18599,17,15602,23
1647,18599,27,15602,19
1647,18599,21,15602,17
1647,18599,21,15602,19
1647,18599,17,15602,19
1647,18599,23,15602,17
1647,18599,21,15602,21
1647,18599,27,15602,19
1647,18599,29,15602,19
1647,18599,21,15602,17
1647,18599,25,15602,17
1647,18599,21,15602,21
1647,18599,27,15602,21
1647,18599,23,15602,19
1647,18599,23,15602,19
1647,18599,15,15602,21
1647,18599,27,15602,23
1647,18599,31,15602,19
1647,18599,19,15602,19
1647,18599,19,15602,17
1647,18599,21,15602,17
1647,18599,31,15602,21
1647,18599,21,15602,21
1647,18599,21,15602,21
1647,18599,17,15602,21
1647,18599,27,15602,21
1647,18599,23,15602,21
1647,18599,29,15602,23
1647,18599,17,15602,19
1647,18599,29,15602,21
1647,18599,33,15602,21
1647,18599,25,15602,17
1647,18599,15,15602,19
1647,18599,27,15602,19
1647,18599,27,15602,17
1647,18599,23,15602,21
1647,18599,21,15602,19
1647,18599,23,15602,21
1647,18599,21,15602,21
1647,18599,15,15602,19
1647,18599,25,15602,19
1647,18599,23,15602,19
1647,18599,27,15602,21
1647,18599,27,15602,19
1647,18599,29,15602,21
1647,18599,21,15602,15
1647,18599,33,15602,21
1647,18599,21,15602,19
1647,18599,21,15602,19
1647,18599,33,15602,19
1647,18599,17,15602,21
1647,18599,23,15602,15
1647,18599,25,15602,23
1647,18599,23,15602,19
1647,18599,21,15602,15
1647,18599,31,15602,19
1647,18599,25,15602,15
1647,18599,23,15602,21
1647,18599,21,15602,21
1647,18599,27,15602,21
1647,18599,21,15602,21
1647,18599,31,15602,19
1647,18599,23,15602,17
1647,18599,23,15602,19
1647,18599,17,15602,21
1647,18599,23,15602,19
1647,18599,13,15602,17
1647,18599,23,15602,23
1647,18599,37,15602,21
1647,18599,23,15602,21
1647,18599,17,15602,19
1647,18599,35,15602,21
1647,18599,21,15602,21
1647,18599,23,15602,19
1647,18599,33,15602,17
1647,18599,23,15602,15
1647,18599,33,15602,19
1647,18599,23,15602,19
1647,18599,13,15602,19
1647,18599,29,15602,17
1647,18599,27,15602,19
1647,18599,33,15602,21
1647,18599,25,15602,23
1647,18599,19,15602,17
1647,18599,23,15602,21
1647,18599,17,15602,21
1647,18599,25,15602,19
1647,18599,23,15602,15
1647,18599,31,15602,21
1647,18599,17,15602,17
1647,18599,25,15602,17
1647,18599,19,15602,21
1647,18599,25,15602,19
1647,18599,21,15602,21
1647,18599,15,15602,21
1647,18599,25,15602,21
1647,18599,23,15602,23
1647,18599,23,15602,23
1647,18599,27,15602,17
1647,18599,21,15602,19
1647,18599,23,15602,19
1647,18599,27,15602,13
1647,18599,23,15602,17
1647,18599,25,15602,19
1647,18599,25,15602,19
1647,18599,17,15602,19
1647,18599,21,15602,21
1647,18599,25,15602,17
1647,18599,21,15602,21
1647,18599,33,15602,19
1647,18599,33,15602,19
1647,18599,25,15602,21
1647,18599,25,15602,15
1647,18599,25,15602,17
1647,18599,35,15602,21
1647,18599,23,15602,17
1647,18599,33,15602,21
1647,18599,29,15602,17
1647,18599,25,15602,19
1647,18599,27,15602,23
1647,18599,23,15602,17
1647,18599,21,15602,21
1647,18599,19,15602,19
1647,18599,23,15602,21
1647,18599,33,15602,21
1647,18599,25,15602,19
1647,18599,33,15602,21
1647,18599,23,15602,17
1647,18599,23,15602,15
1647,18599,27,15602,19
1647,18599,29,15602,19
1647,18599,17,15602,17
1647,18599,19,15602,19
1647,18599,29,15602,19
1647,18599,17,15602,17
1647,18599,19,15602,19
1647,18599,19,15602,19
1647,18599,23,15602,21
1647,18599,25,15602,21
1647,18599,21,15602,21
1647,18599,19,15602,19
1647,18599,27,15602,23
1647,18599,23,15602,19
1647,18599,13,15602,19
1647,18599,33,15602,15
1647,18599,17,15602,19
1647,18599,31,15602,23
1647,18599,29,15602,21
1647,18599,25,15602,21
1647,18599,27,15602,21
1647,18599,25,15602,19
1647,18599,29,15602,21
1647,18599,27,15602,15
1647,18599,33,15602,15
1647,18599,15,15602,19
1647,18599,29,15602,21
1647,18599,25,15602,17
1647,18599,21,15602,17
1647,18599,29,15602,21
1647,18599,27,15602,19
1647,18599,19,15602,23
1647,18599,35,15602,19
1647,18599,35,15602,17
1647,18599,27,15602,21
1647,18599,21,15602,21
1647,18599,21,15602,17
1647,18599,25,15602,21
1647,18599,21,15602,17
1647,18599,21,15602,19
1647,18599,25,15602,21
1647,18599,25,15602,19
1647,18599,25,15602,21
1647,18599,25,15602,21
1647,18599,21,15602,21
1647,18599,27,15602,19
1647,18599,27,15602,21
1647,18599,27,15602,19
1647,18599,29,15602,19
1647,18599,37,15602,19
1647,18599,25,15602,17
1647,18599,21,15602,19
1647,18599,35,15602,21
1647,18599,31,15602,21
1647,18599,33,15602,19
1647,18599,27,15602,21
1647,18599,25,15602,19
1647,18599,35,15602,19
1647,18599,33,15602,21
1647,18599,29,15602,21
1647,18599,29,15602,19
1647,18599,25,15602,19
1647,18599,29,15602,19
1647,18599,25,15602,21
1647,18599,29,15602,21
1647,18599,25,15602,19
1647,18599,33,15602,17
1647,18599,11,15602,19
1647,18599,37,15602,19
1647,18599,25,15602,19
1647,18599,27,15602,21
1647,18599,27,15602,21
1647,18599,25,15602,17
1647,18599,29,15602,23
1647,18599,29,15602,21
1647,18599,15,15602,21
1647,18599,21,15602,21
1647,18599,19,15602,21
1647,18599,25,15602,19
1647,18599,11,15602,21
1647,18599,19,15602,21
1647,18599,19,15602,21
1647,18599,23,15602,23
1647,18599,21,15602,21
1647,18599,27,15602,19
1647,18599,33,15602,21
1647,18599,27,15602,19
1647,18599,27,15602,21
1647,18599,23,15602,23
1647,18599,29,15602,15
1647,18599,21,15602,17
